,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
V1,119.409306,110.6925112,70.7631588,107.7356686,123.895642,110.9861603,130.8856294,155.7918899,222.2775091,124.6732806,132.4516888,115.667542,68.56230932,45.93324294,56.9964518,81.03879539,145.3679199,151.5758568,75.69881471,132.0557675,115.8502303,88.56893199,28.17687746,86.00888517,66.56579213,93.13404045,202.0869444,81.63317429,105.5524631,82.47866631,117.1027853,163.6083121,158.5315446,51.65514838,114.5831907,160.4906162,124.0987024,98.29759435,96.77671209,145.483017,137.326574,119.8216927,85.42305902,79.6208255,136.2350886,115.7875247,117.1818388,82.10603256,193.6949279,179.0728287,46.0258627,80.87016905,180.8925793,120.501902,113.7921899,113.9749651,99.0553477,153.6920971,85.08834907,153.2804895,87.69586064,195.2513185,119.6477667,97.26902113,126.7384539,106.3908835,85.08136491,116.7255936,132.333237,160.0784739,120.882667,90.12896686,152.3968595,118.6430635,149.2322232,87.4432464,123.8270414,109.6758324,166.3305415,120.2451124,111.3587253,137.5570384,130.2832794,116.0316108,166.2213202,120.8895685,94.87465028,175.4858007,107.6042262,146.0638854,123.7928938,142.4750728,143.6452475,184.2760696,195.4075444,163.7892197,154.4991627,135.4003735,180.552478,154.669305,143.0576249,153.181945,70.31784127,155.8923696,162.7818686,61.87135082,148.1617186,242.7243987,109.1535661,139.6403334,139.4730559,247.4445151,159.2880595,147.7937211,208.6680675,189.8551953,190.7726506,148.2700052,115.2794029,142.5534527,184.7278425,196.8568618,103.8241603,133.4144032,189.0214587,161.3275627,108.8546508,144.2711637,153.7213494,167.6751944,133.2700125,119.9176441,125.7202936,101.3982843,58.82826571,183.9680262,163.9120816,119.7452365,124.2515809,164.2446735,102.0930403,139.4217461,59.62904981,174.8251504
V2,89.33273048,116.1143911,107.4746604,161.7951518,124.2168782,77.05493348,131.1214277,181.4870626,60.13981548,112.0146243,113.2356004,103.4236783,28.47036301,109.2765948,168.2568965,79.8474929,65.433164,102.2564556,113.1157703,150.489494,83.99387274,98.81951908,129.4651174,74.53847227,32.95816176,83.23576545,135.1416476,116.1516344,67.97641623,110.4498818,56.19103175,41.87207657,82.40277436,186.632597,32.44290973,81.32210849,96.2640649,151.4774739,96.54215553,100.0072741,76.51364165,78.25533441,39.09581171,40.8769357,165.5413,96.53572813,91.83572325,102.9843301,181.2126972,65.56008841,2.182681333,108.0691929,115.7111585,45.52393368,120.882403,65.00294673,109.816288,104.7891504,140.2481556,129.0412386,0.409175176,138.3978527,229.1638857,126.4460274,130.5633277,130.4093239,50.69668878,198.3860697,154.4124241,92.87866955,192.8991142,34.10772862,119.3626523,138.957103,112.3556521,135.7089908,145.6779372,128.5673904,193.8007918,211.1536689,137.8902357,130.2591616,114.0726458,126.8485551,85.33278688,70.85604905,102.9845025,123.6625862,102.3632033,175.2188126,154.4653722,123.378981,129.45891,183.0185473,149.2686878,74.53772285,104.2154395,151.3238189,20.83047307,135.2687147,149.8822621,151.6720092,103.2054058,204.4904116,68.55422165,213.5283167,173.3727788,36.30354128,143.6387906,126.7455337,146.3375998,140.0923254,85.59128301,195.8159786,66.92465036,46.07577319,201.8676736,144.9122435,143.3764188,157.0651222,106.2637238,189.6922856,126.4331664,78.1044012,47.07317132,208.7317714,121.01533,151.2336044,154.4269222,112.2205253,178.356416,156.0632103,230.4160962,79.20107001,199.9473489,146.602384,145.3291508,134.4379075,63.02761736,128.4303613,188.3462443,177.6822551,158.8272306,131.6744577
V3,82.58899573,96.81053888,70.52938231,108.2063121,54.92583464,104.2966215,155.0940936,11.9660474,158.3641714,110.2373878,80.09282558,87.50026005,194.1392566,135.74017,174.6608297,68.01795424,86.7988767,171.9263462,146.8357124,127.8893095,86.213901,119.9069307,80.15744075,147.2544996,89.23243804,136.7433296,106.8476278,57.04708448,104.1246513,103.8689791,198.2978142,57.5117475,75.50419656,106.2656704,119.185918,147.6203577,73.210903,130.0062669,105.7674619,80.79340642,102.1343058,52.04579022,148.7880769,101.0486747,134.1227852,101.2509037,106.014271,104.6113431,104.5611134,109.8966486,40.92596396,10.51256011,40.65756318,165.6284756,90.91154475,179.8675252,101.5316554,120.2763014,52.51557569,52.04574915,99.95408,134.7359895,151.4466732,118.7348676,102.5891532,113.5737573,184.0973636,168.770017,116.3740854,159.1765612,158.2668321,97.20383009,139.0185534,143.8096813,113.3000204,149.6002237,88.20156264,130.2787682,77.58512277,156.2939988,153.0193681,88.6905853,140.0297687,123.1648937,77.02626929,85.59704689,151.4789605,139.8681854,222.6789828,190.7154284,170.9093698,150.5969143,104.4390837,132.3135959,185.0567213,163.4631619,114.7171651,101.0165048,120.5428809,128.1124613,168.0941048,117.4679912,91.25877646,133.4180139,111.0711741,228.8494818,29.65133843,64.67339176,123.8283841,129.1467398,168.0449603,203.0357318,136.7061205,108.0802781,90.19920036,142.5071461,176.161164,157.1375522,179.1986753,165.3344579,107.4082816,21.19679349,121.1729413,187.6042489,149.0797919,14.45516914,161.5166361,165.6426784,133.3051422,130.5124887,119.471029,58.90943776,148.7021787,201.4279455,181.8160066,145.3926529,148.6641215,122.2524638,115.114871,88.97781057,160.2911799,66.36488102,163.395893,71.01409544
V4,59.2648884,79.97159062,98.5564012,101.1195967,92.20892711,22.95857642,159.2426091,130.7901056,5.511515478,82.3839277,128.6200762,111.7782991,72.98566416,104.5579242,142.6826041,82.06137539,127.7123348,54.40193481,129.8214803,95.53321278,109.4887011,104.6956012,156.4783459,172.5215104,36.36671381,109.4150645,177.1214601,105.2037904,57.57763097,103.4053623,90.0432015,53.61059812,25.10892982,48.84796965,68.4010502,5.95887306,87.82006696,92.7271022,91.85495407,160.2203084,116.8990723,139.1178602,122.2055807,72.71946346,194.1034385,89.26867593,148.1752256,93.28144835,148.1312724,41.25009195,90.81387931,217.66282,128.8336385,167.2783151,140.8237569,146.0359113,128.4866826,109.9764795,141.0544934,86.17013092,56.73298999,98.698585,42.90638422,124.7857596,115.1751626,107.7742274,109.9233393,135.0241754,189.7642954,31.85975327,98.7762751,150.9103702,143.0136392,182.6449402,116.6839257,120.6111132,137.7146661,146.7980736,117.9075606,103.3297099,190.4707337,127.94056,72.9521587,136.3381617,161.8594276,99.92097281,31.75325114,56.73935764,169.0365049,74.33766183,141.1691757,129.1752089,138.0978746,133.9095409,142.1621304,220.1934961,44.61872341,149.2255453,45.30297851,162.3584932,129.7353704,149.8184536,167.9177874,157.4292594,178.313597,64.79366466,162.9323464,140.4972226,149.3072353,141.3053525,102.2978175,205.055601,149.0002829,167.2137673,223.8855315,93.89211182,204.4992423,139.1100633,136.9198612,116.2436028,185.3770136,100.6516348,90.07883691,179.874462,6.766752422,106.4547321,153.5352459,117.2166633,137.7502628,186.0202712,163.3705763,111.071267,192.9700686,38.7373839,158.2725434,178.3963693,116.7968045,139.7322772,209.9796692,36.71641485,227.0238415,128.3492727,122.0884059,56.16834047
V5,96.87156967,106.3055712,83.28499106,190.5628105,110.8235116,150.9187008,81.9825641,132.8351354,168.6030601,100.1156634,127.919761,93.78670368,125.6612831,99.7414572,164.6395044,114.5350356,36.20369486,144.9738207,86.91713341,97.02850096,85.59264257,88.21583755,109.030351,141.0007823,71.46545522,102.5300892,164.9797482,119.6594273,126.290404,106.2598316,31.82501089,55.15807667,79.22981146,96.21930673,75.98572974,127.2729357,92.46203235,106.1027941,51.03842304,194.4162832,176.498938,187.0781778,211.7622888,126.0931022,113.4032151,115.0554249,74.63485846,80.87794226,26.88335749,101.8990197,126.1584729,107.5910342,101.4007136,156.5131021,126.3236329,144.8665168,123.7365981,112.9038703,158.8149205,150.7247464,119.2012664,147.2435319,163.0482115,110.9032864,140.1796229,115.4378241,130.8685686,16.64246679,86.39669253,253.6361147,190.4096932,151.4251334,111.8544835,123.9870773,112.059674,78.15374984,103.8368631,100.2806565,145.3071859,215.6369889,122.1914458,110.7445357,121.0631549,123.9566276,105.7978144,145.6985144,102.719738,143.3507137,82.52164758,101.0120653,113.7790661,159.7267407,161.5508017,119.3838562,55.43627593,100.847352,168.2553697,95.01268573,158.0273545,103.8215692,104.8442259,116.8285085,194.8847024,135.012409,192.7066196,150.5150679,210.5474644,175.78195,144.090672,132.7739803,131.6185617,90.71669437,140.3959195,62.17647967,52.68879945,62.63759149,167.7603183,170.5275309,149.4940737,125.7964012,83.56136535,143.7974069,146.1434562,119.9665553,190.7586921,201.9864971,141.1200453,144.3182899,135.3552626,97.10699665,114.8318831,135.8887241,41.79623415,91.4208601,122.2545045,157.2400939,115.1673737,141.5430123,104.5891823,134.0199972,217.5655133,156.2886254,177.1484288,156.6892984
V6,NA,116.9233739,87.94527671,NA,127.1516352,121.2365479,NA,91.64586167,22.04540335,NA,88.65616915,90.99212413,NA,133.1993118,59.64316736,NA,108.1613118,167.1303996,NA,91.44497567,94.70386232,NA,79.97942867,137.1168388,NA,7.844478774,52.83838143,NA,126.7051222,77.4909772,NA,146.5219932,93.42311183,NA,132.6836286,114.4084364,NA,127.4437938,89.91837578,NA,50.43958265,144.8885816,NA,72.64576061,136.4225981,NA,82.56597468,131.6708146,NA,109.5386213,155.8273179,NA,101.892704,113.5526958,NA,109.6163829,74.81484145,NA,134.2163686,82.03206856,NA,118.293003,187.7830532,NA,154.1060282,110.0033585,NA,144.6994941,109.8606133,NA,135.8667691,158.4670188,NA,127.1895143,87.23879846,NA,107.314295,126.4111897,NA,147.2623126,64.95078556,NA,123.8011963,126.0656984,NA,68.45678957,45.50066442,NA,70.44952635,71.61259073,NA,119.0410177,121.5662531,NA,128.7953272,157.3573531,NA,94.65967789,179.5405516,NA,104.4501314,152.0224556,NA,128.1826714,82.72665286,NA,201.1548912,125.1707016,NA,148.0398257,131.3372387,NA,118.5718704,149.6390125,NA,113.9865819,58.17264115,NA,132.9922698,120.7696542,NA,167.367622,203.8121119,NA,189.1783321,108.1263632,NA,169.369092,128.5240441,NA,120.9892576,139.1827744,NA,212.7214188,91.53184501,NA,141.2038505,142.091136,NA,111.8682608,150.8040861,NA,80.9960638,162.4058763
V7,NA,97.03387844,132.1119536,NA,75.97964204,56.15437864,NA,80.53768108,57.99465305,NA,84.89368159,123.8488778,NA,90.975702,65.31305408,NA,87.57405368,0.434941577,NA,124.1957448,92.67002261,NA,80.34786463,36.01853722,NA,108.6316348,113.3506136,NA,124.510592,107.9710047,NA,68.04317395,30.24760288,NA,134.4183817,118.3157508,NA,109.5902523,68.7013073,NA,57.90060297,96.54195138,NA,42.5900451,121.7128235,NA,102.7274496,102.7447933,NA,184.8693418,140.9772346,NA,81.82652973,32.15971196,NA,129.306886,109.8742284,NA,182.0125351,134.545395,NA,115.5625703,151.7501172,NA,126.1865055,119.5681603,NA,163.0798229,143.123711,NA,191.5018332,102.7784226,NA,127.1086736,123.6899618,NA,161.6701088,84.13709828,NA,167.0662274,52.08775876,NA,120.8392243,85.81673885,NA,107.5081813,176.0081191,NA,107.6365791,50.75831584,NA,114.217751,153.6807729,NA,105.4915703,180.8803808,NA,50.65932448,137.5686087,NA,145.1511069,123.8606796,NA,130.8074114,206.4823954,NA,118.1559325,237.541796,NA,143.5448752,197.3450994,NA,181.1304477,95.41034435,NA,32.067287,127.6189607,NA,154.5466246,148.812089,NA,164.9310744,145.3394926,NA,71.03170392,107.2930633,NA,148.3137944,144.8417408,NA,152.1121266,107.3447969,NA,68.36600743,100.4827901,NA,133.718575,107.6660879,NA,213.6743746,138.0665941,NA,24.72117141,153.5755424
V8,NA,114.7930248,80.39215096,NA,69.64149057,84.07267855,NA,125.581191,112.683526,NA,67.56151262,114.9576843,NA,174.8496444,103.4115138,NA,55.64255584,200.9195694,NA,76.20369791,103.5437197,NA,172.8288048,144.4539241,NA,95.53647464,111.9120238,NA,122.3089879,101.8184656,NA,50.35072394,16.80416331,NA,176.2079619,123.5519136,NA,129.4372251,69.27018638,NA,109.6749422,81.44623722,NA,66.32245607,218.6270076,NA,90.58484514,103.2999665,NA,128.5297897,155.0289373,NA,85.95808113,63.02314634,NA,133.8711119,103.6490764,NA,89.84889256,127.4947378,NA,148.179198,152.956753,NA,126.3443264,150.6889482,NA,54.4599334,119.5587426,NA,105.800771,153.0145025,NA,122.8275676,119.6466652,NA,99.83679846,97.75689165,NA,77.05842182,232.665977,NA,126.1986916,116.8181026,NA,112.5049992,82.38258157,NA,172.1047096,63.15904659,NA,139.1214791,126.7079751,NA,145.5462346,196.5096171,NA,81.92917609,70.33621438,NA,114.7582458,149.3883951,NA,101.2223068,114.4149464,NA,104.1672526,116.0036402,NA,133.8478305,129.471985,NA,128.7074479,152.0531397,NA,87.50219251,164.5327207,NA,152.0186138,114.246462,NA,125.1659621,128.6790689,NA,205.2154461,85.4240522,NA,133.9507043,153.3295667,NA,177.4643982,79.89983388,NA,148.0699108,171.3769272,NA,116.2790282,126.0615807,NA,95.26687298,109.6034394,NA,206.3915951,98.18060495
V9,NA,78.78843977,77.49708403,NA,162.4602643,137.0508083,NA,33.38529339,74.59109541,NA,93.04296217,92.77600816,NA,82.88298119,126.5092246,NA,115.9398789,99.26454304,NA,49.60707544,138.082758,NA,180.8789186,132.2906727,NA,55.86049887,169.3314048,NA,132.0752668,70.12296818,NA,116.0395561,110.061516,NA,32.19191484,71.33717568,NA,108.1447391,113.7429553,NA,134.855705,129.7261183,NA,170.3344224,94.53985199,NA,118.036479,95.57338654,NA,124.0992481,92.44301499,NA,86.53720947,55.94965627,NA,162.6951629,122.055604,NA,116.3295901,184.9213295,NA,113.3377267,60.68309068,NA,118.3072416,145.1059532,NA,36.29108487,183.0268938,NA,199.5891404,154.93644,NA,102.8632173,128.5233161,NA,92.77386172,62.85495389,NA,91.69787207,140.6370093,NA,95.99495937,90.93999172,NA,131.4286149,129.6458872,NA,200.9684643,96.99133065,NA,142.1048512,146.2549959,NA,85.58456971,218.2070456,NA,165.2568298,136.6190673,NA,153.7442785,165.6388392,NA,132.5599873,103.7249998,NA,110.2814474,170.6883428,NA,129.8665555,134.4024602,NA,95.17638132,156.403226,NA,205.4613316,146.5608657,NA,130.5472559,168.1914348,NA,172.2747825,137.4197043,NA,117.5304177,77.0182922,NA,160.5902696,124.29253,NA,161.0450837,151.9130461,NA,112.8674691,233.8487387,NA,137.1640782,121.9438712,NA,197.2755892,148.0629812,NA,78.96574755,213.5347917
V10,NA,99.87830978,105.7024612,NA,197.2635524,101.9099757,NA,142.788407,201.055996,NA,77.36939522,114.8668258,NA,98.22892888,152.504627,NA,57.54056646,13.74951741,NA,78.90300308,138.1077307,NA,142.1566961,45.84586767,NA,76.4510492,36.17799639,NA,97.92098175,120.1531835,NA,157.9605019,141.4576469,NA,99.62849512,56.70371014,NA,98.95817571,75.8423215,NA,57.44649619,69.90515433,NA,37.04564059,118.2300888,NA,101.3608373,99.24006527,NA,132.9751389,8.574569297,NA,32.0340178,202.7235922,NA,136.7254177,101.4846757,NA,91.00735494,143.6073142,NA,172.4880575,129.2995456,NA,152.8976022,103.2261397,NA,147.1169814,20.02794885,NA,232.8898865,110.333003,NA,123.5497168,140.2523304,NA,94.01382711,83.23366775,NA,140.103178,30.50171024,NA,109.4978066,103.7344693,NA,118.6986246,107.783309,NA,92.90744852,142.998686,NA,151.1343323,128.6181707,NA,138.9126966,14.57764502,NA,97.11729508,76.79993224,NA,151.3520912,158.1043101,NA,129.7483467,136.651389,NA,63.10176041,221.1007034,NA,155.5534629,116.4083724,NA,144.5605364,54.77957884,NA,77.80476768,186.4301631,NA,107.5030337,158.3034124,NA,200.8275115,158.7644839,NA,37.5546486,121.1340459,NA,125.656799,147.2413789,NA,225.0847681,146.2263609,NA,75.41707587,238.100312,NA,126.7799783,144.5176418,NA,104.3064095,109.7438468,NA,144.6540293,126.946206
